RM,RAD,INDUS,TAX,MEDV
6.575,1,2.31,296,24.0
6.421,2,7.07,242,21.6
7.185,2,7.07,242,34.7
6.998,3,2.18,222,33.4
7.147,3,2.18,222,36.2
6.43,3,2.18,222,28.7
6.012,5,7.87,311,22.9
6.172,5,7.87,311,27.1
5.631,5,7.87,311,16.5
6.004,5,7.87,311,18.9
6.377,5,7.87,311,15.0
6.009,5,7.87,311,18.9
5.889,5,7.87,311,21.7
5.949,4,8.14,307,20.4
6.096,4,8.14,307,18.2
5.834,4,8.14,307,19.9
5.935,4,8.14,307,23.1
5.99,4,8.14,307,17.5
5.456,4,8.14,307,20.2
5.727,4,8.14,307,18.2
5.57,4,8.14,307,13.6
5.965,4,8.14,307,19.6
6.142,4,8.14,307,15.2
5.813,4,8.14,307,14.5
5.924,4,8.14,307,15.6
5.599,4,8.14,307,13.9
5.813,4,8.14,307,16.6
6.047,4,8.14,307,14.8
6.495,4,8.14,307,18.4
6.674,4,8.14,307,21.0
5.713,4,8.14,307,12.7
6.072,4,8.14,307,14.5
5.95,4,8.14,307,13.2
5.701,4,8.14,307,13.1
6.096,4,8.14,307,13.5
5.933,5,5.96,279,18.9
5.85,5,5.96,279,21.0
5.966,5,5.96,279,24.7
6.595,3,2.95,252,30.8
7.024,3,2.95,252,34.9
6.77,3,6.91,233,26.6
6.169,3,6.91,233,25.3
6.211,3,6.91,233,24.7
6.069,3,6.91,233,21.2
5.682,3,6.91,233,19.3
5.786,3,6.91,233,20.0
5.399,3,6.91,233,14.4
5.602,3,6.91,233,19.4
5.963,4,5.64,243,19.7
6.511,4,5.64,243,25.0
5.998,4,5.64,243,23.4
5.888,3,4.0,469,18.9
7.249,5,1.22,226,35.4
6.383,2,0.74,313,24.7
6.816,5,1.32,256,31.6
6.145,8,5.13,284,23.3
5.927,8,5.13,284,19.6
5.741,8,5.13,284,18.7
5.966,8,5.13,284,16.0
6.456,8,5.13,284,22.2
6.762,8,5.13,284,25.0
7.104,3,1.38,216,33.0
6.29,4,3.37,337,23.5
5.787,4,3.37,337,19.4
5.878,4,6.07,345,22.0
5.594,4,6.07,345,17.4
5.885,4,6.07,345,20.9
6.417,4,10.81,305,24.2
5.961,4,10.81,305,21.7
6.065,4,10.81,305,22.8
6.245,4,10.81,305,23.4
6.273,5,12.83,398,24.1
6.286,5,12.83,398,21.4
6.279,5,12.83,398,20.0
6.14,5,12.83,398,20.8
6.232,5,12.83,398,21.2
5.874,5,12.83,398,20.3
6.727,4,4.86,281,28.0
6.619,4,4.86,281,23.9
6.302,4,4.86,281,24.8
6.167,4,4.86,281,22.9
6.389,3,4.49,247,23.9
6.63,3,4.49,247,26.6
6.015,3,4.49,247,22.5
6.121,3,4.49,247,22.2
7.007,2,3.41,270,23.6
7.079,2,3.41,270,28.7
6.417,2,3.41,270,22.6
6.405,2,3.41,270,22.0
6.442,4,15.04,270,22.9
6.211,4,15.04,270,25.0
6.249,4,15.04,270,20.6
6.625,2,2.89,276,28.4
6.163,2,2.89,276,21.4
8.069,2,2.89,276,38.7
7.82,2,2.89,276,43.8
7.416,2,2.89,276,33.2
6.727,5,8.56,384,27.5
6.781,5,8.56,384,26.5
6.405,5,8.56,384,18.6
6.137,5,8.56,384,19.3
6.167,5,8.56,384,20.1
5.851,5,8.56,384,19.5
5.836,5,8.56,384,19.5
6.127,5,8.56,384,20.4
6.474,5,8.56,384,19.8
6.229,5,8.56,384,19.4
6.195,5,8.56,384,21.7
6.715,6,10.01,432,22.8
5.913,6,10.01,432,18.8
6.092,6,10.01,432,18.7
6.254,6,10.01,432,18.5
5.928,6,10.01,432,18.3
6.176,6,10.01,432,21.2
6.021,6,10.01,432,19.2
5.872,6,10.01,432,20.4
5.731,6,10.01,432,19.3
5.87,2,25.65,188,22.0
6.004,2,25.65,188,20.3
5.961,2,25.65,188,20.5
5.879,2,25.65,188,18.8
5.986,2,25.65,188,21.4
5.613,2,25.65,188,15.7
5.693,4,21.89,437,16.2
6.431,4,21.89,437,18.0
5.637,4,21.89,437,14.3
6.458,4,21.89,437,19.2
6.326,4,21.89,437,19.6
6.372,4,21.89,437,23.0
5.757,4,21.89,437,15.6
6.335,4,21.89,437,18.1
5.942,4,21.89,437,17.4
6.454,4,21.89,437,17.1
5.857,4,21.89,437,13.3
6.151,4,21.89,437,17.8
6.174,4,21.89,437,14.0
5.019,4,21.89,437,14.4
5.403,5,19.58,403,13.4
5.468,5,19.58,403,15.6
4.903,5,19.58,403,11.8
6.13,5,19.58,403,13.8
5.628,5,19.58,403,15.6
5.597,5,19.58,403,15.4
6.122,5,19.58,403,21.5
5.404,5,19.58,403,19.6
5.012,5,19.58,403,15.3
5.709,5,19.58,403,19.4
6.129,5,19.58,403,17.0
6.152,5,19.58,403,15.6
5.272,5,19.58,403,13.1
6.943,5,19.58,403,41.3
6.066,5,19.58,403,24.3
6.51,5,19.58,403,23.3
6.25,5,19.58,403,27.0
7.489,5,19.58,403,50.0
7.802,5,19.58,403,50.0
8.375,5,19.58,403,50.0
5.854,5,19.58,403,22.7
6.101,5,19.58,403,25.0
7.929,5,19.58,403,50.0
5.877,5,19.58,403,23.8
6.319,5,19.58,403,23.8
6.402,5,19.58,403,22.3
5.875,5,19.58,403,17.4
5.88,5,19.58,403,19.1
5.572,5,4.05,296,23.1
5.859,5,4.05,296,22.6
6.546,5,4.05,296,29.4
6.02,5,4.05,296,23.2
6.86,5,4.05,296,29.9
6.98,3,2.46,193,37.2
7.765,3,2.46,193,39.8
6.144,3,2.46,193,36.2
7.155,3,2.46,193,37.9
6.563,3,2.46,193,32.5
5.604,3,2.46,193,26.4
